estacion,year,vel_prom
estacion1,2005,3.3451502263684962
estacion1,2006,3.3697993754545075
estacion1,2007,3.5963472619575434
estacion1,2008,3.398824975040326
estacion1,2009,3.66482712188342
estacion1,2010,3.161873801110522
estacion1,2011,3.1365808236671544
estacion1,2012,3.4450454680241487
estacion1,2013,3.538342011064097
estacion1,2014,3.45578921078922
estacion1,2015,3.7779808899145197
estacion1,2016,3.330220994475063
estacion1,2017,3.2011493797313175
estacion2,2014,1.1526877158959994
estacion2,2015,1.1472614622057096
estacion2,2016,1.0571862146080437
estacion2,2017,1.012212073073861
estacion3,2005,1.395973665596624
estacion3,2006,1.5161108879067902
estacion3,2012,1.323717167931546
estacion3,2013,1.3370774140706831
estacion3,2014,1.234715356938711
estacion3,2015,1.2371894975321962
estacion3,2016,1.3308187457512164
estacion3,2017,1.3617791160559294
estacion4,2006,3.2187048098082416
estacion4,2007,3.342500565995052
estacion4,2008,2.7997005647576354
estacion4,2009,4.0060349431601825
estacion4,2010,3.3342226040560274
estacion4,2011,3.3481436157426483
estacion4,2012,3.5119379595773053
estacion4,2013,3.6539933159089824
estacion4,2014,3.6206199252195823
estacion4,2015,4.02149037061687
estacion4,2016,3.5266900456312436
estacion4,2017,3.0022155346858392
