estacion,hora,vel_prom
estacion1,0,2.5171288813271278
estacion1,1,2.4229398000425624
estacion1,2,2.423709581093773
estacion1,3,2.453470646169688
estacion1,4,2.5101003574966674
estacion1,5,2.5656465985655394
estacion1,6,2.5511213266884494
estacion1,7,2.598566170176347
estacion1,8,3.2485589294904735
estacion1,9,3.865461778671364
estacion1,10,4.298662678914748
estacion1,11,4.6223009976650635
estacion1,12,4.8333910472972965
estacion1,13,4.916534033186643
estacion1,14,4.98454196055247
estacion1,15,4.899340519974659
estacion1,16,4.6230150033715915
estacion1,17,4.154349658602413
estacion1,18,3.622203595825837
estacion1,19,3.1483600867679216
estacion1,20,2.882756511099474
estacion1,21,2.775917411295224
estacion1,22,2.695521940349691
estacion1,23,2.5829705781142644
estacion2,0,0.7102307692307684
estacion2,1,0.6971809328549455
estacion2,2,0.6994579246257115
estacion2,3,0.6932923707117301
estacion2,4,0.6997426659804445
estacion2,5,0.700545312905742
estacion2,6,0.6419229775135727
estacion2,7,0.6209145232527951
estacion2,8,0.8426986584107332
estacion2,9,1.1876779704892622
estacion2,10,1.5134615384615384
estacion2,11,1.7271968709256873
estacion2,12,1.8606875161540437
estacion2,13,1.988422425032591
estacion2,14,1.9482105809128643
estacion2,15,1.8260160497023028
estacion2,16,1.6655593044380994
estacion2,17,1.3404749612803315
estacion2,18,1.0342893725992333
estacion2,19,0.8988674388674422
estacion2,20,0.8603973168214651
estacion2,21,0.81838961038961
estacion2,22,0.7683102208525942
estacion2,23,0.734463276836158
estacion3,0,0.8100854540332417
estacion3,1,0.7933581741965499
estacion3,2,0.7832005249835954
estacion3,3,0.7757510326699262
estacion3,4,0.7523337386586862
estacion3,5,0.7502367424242438
estacion3,6,0.7348145358689527
estacion3,7,0.7792259158112862
estacion3,8,0.9779898100972662
estacion3,9,1.2921087160262363
estacion3,10,1.6425929402928912
estacion3,11,1.976492890995266
estacion3,12,2.2629459256477604
estacion3,13,2.417047285132197
estacion3,14,2.418092540132196
estacion3,15,2.2661925704126507
estacion3,16,2.0376457420016827
estacion3,17,1.69467373117679
estacion3,18,1.4033753709198775
estacion3,19,1.2167510750119372
estacion3,20,1.0857554509653267
estacion3,21,0.9747935061236124
estacion3,22,0.9022887659736769
estacion3,23,0.8455766117512636
estacion4,0,3.598347154704039
estacion4,1,3.6171010990275922
estacion4,2,3.6895178075855775
estacion4,3,3.8639400580465595
estacion4,4,4.086860288089942
estacion4,5,4.287845402572642
estacion4,6,4.434337775681112
estacion4,7,4.4774063297904245
estacion4,8,4.249337099377498
estacion4,9,3.974558203169549
estacion4,10,3.6707416556557795
estacion4,11,3.394937363521456
estacion4,12,3.179148098848311
estacion4,13,3.0174069767441756
estacion4,14,2.9377565298507435
estacion4,15,2.8252811256559687
estacion4,16,2.757772020725399
estacion4,17,2.7098762563179144
estacion4,18,2.74761768082662
estacion4,19,2.980627218934927
estacion4,20,3.186753541753838
estacion4,21,3.4637426900585058
estacion4,22,3.5430183032117135
estacion4,23,3.56950646639215
